,winner,win_through,loser,match type,title(s),rating,match duration_sec,card_date,card_date_month,champion_status
1359,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-05-20,2023-05-01,No Title Match
1360,Austin Theory (c),pinfall,Sheamus,Single Match,WWE United States Championship,-,738,2023-05-19,2023-05-01,still champion
1361,Raquel Rodriguez & Shotzi,pinfall,Bayley & Iyo Sky,Tag Team,No Title Match,-,547,2023-05-19,2023-05-01,No Title Match
1362,Cameron Grimes,pinfall,"Ashante ""Thee"" Adonis",Single Match,No Title Match,-,130,2023-05-19,2023-05-01,No Title Match
1363,L.A. Knight,pinfall,Rick Boogs,Single Match,No Title Match,-,197,2023-05-19,2023-05-01,No Title Match
1364,AJ Styles,pinfall,Karrion Kross,Single Match,No Title Match,-,564,2023-05-19,2023-05-01,No Title Match
1365,Elton Prince & Kit Wilson,pinfall,Butch & Ridge Holland,Tag Team,No Title Match,-,489,2023-05-19,2023-05-01,No Title Match
1366,Asuka,submission,Zelina Vega,Single Match,No Title Match,-,368,2023-05-19,2023-05-01,No Title Match
1367,Angelo Dawkins & Montez Ford,pinfall,L.A. Knight & Rick Boogs,Tag Team,No Title Match,-,237,2023-05-19,2023-05-01,No Title Match
1368,Alba Fyre & Isla Dawn,pinfall,Valentina Feroz & Yulisa Leon,Tag Team,No Title Match,-,61,2023-05-19,2023-05-01,No Title Match
1369,Rey Mysterio & Santos Escobar,pinfall,Jey Uso & Jimmy Uso,Tag Team,No Title Match,***¾,860,2023-05-19,2023-05-01,No Title Match
1370,Shinsuke Nakamura,pinfall,The Miz,Single Match,No Title Match,-,538,2023-05-15,2023-05-01,No Title Match
1371,Mustafa Ali,victory,"Akira Tozawa, Angel, Apollo Crews, Baron Corbin, Bronson Reed, Cedric Alexander, Chad Gable, Dexter Lumis, Dolph Ziggler, Elias, Erik, Humberto, Ivar, JD McDonagh, Johnny Gargano, ma.çé, Matt Riddle, mån.sôör, Otis, Ricochet, Riddick Moss, Shelton Benjamin, Von Wagner, Xyon Quinn",Battle Royal/Andre The Giant Memorial,No Title Match,-,755,2023-05-15,2023-05-01,No Title Match
1372,Dominik Mysterio,pinfall,Xavier Woods,Single Match,No Title Match,-,635,2023-05-15,2023-05-01,No Title Match
1373,Sanga & Veer,pinfall,Drake Thompson & Lavar Barbie,Tag Team,No Title Match,-,110,2023-05-15,2023-05-01,No Title Match
1374,Raquel Rodriguez,pinfall,Chelsea Green,Single Match,No Title Match,-,220,2023-05-15,2023-05-01,No Title Match
1375,Damian Priest & Finn Bálor,pinfall,Kevin Owens & Sami Zayn,Tag Team,No Title Match,***¾,1256,2023-05-15,2023-05-01,No Title Match
1376,Nikki Cross,victory,Tegan Nox,Single Match,No Title Match,-,550,2023-05-15,2023-05-01,No Title Match
1377,Dana Brooke,victory,Emma,Single Match,No Title Match,-,550,2023-05-15,2023-05-01,No Title Match
1378,Bianca BelAir (c),victory,Asuka,Single Match,WWE Raw Women's Title,-,1082,2023-05-14,2023-05-01,still champion
1379,Gunther (c),victory,Johnny Gargano,Single Match,WWE Intercontinental Championship,-,1012,2023-05-14,2023-05-01,still champion
1380,AJ Styles,DQ,Austin Theory (c),Single Match,WWE United States Championship,-,964,2023-05-14,2023-05-01,still champion
1381,Kevin Owens (c) & Sami Zayn (c),victory,"Angelo Dawkins & Montez Ford, Giovanni Vinci & Ludwig Kaiser",Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-05-14,2023-05-01,still champion
1382,Omos,victory,Dolph Ziggler,Single Match,No Title Match,-,550,2023-05-14,2023-05-01,No Title Match
1383,Rhea Ripley (c),victory,Tegan Nox,Single Match,WWE Smackdown Women's Title,-,609,2023-05-14,2023-05-01,still champion
1384,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-05-14,2023-05-01,No Title Match
1385,Bianca BelAir (c),victory,Asuka,Single Match,WWE Raw Women's Title,-,1082,2023-05-13,2023-05-01,still champion
1386,Omos,victory,Dolph Ziggler,Single Match,No Title Match,-,550,2023-05-13,2023-05-01,No Title Match
1387,AJ Styles,DQ,Austin Theory (c),Single Match,WWE United States Championship,-,964,2023-05-13,2023-05-01,still champion
1388,Kevin Owens (c) & Sami Zayn (c),victory,"Angelo Dawkins & Montez Ford, Giovanni Vinci & Ludwig Kaiser",Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-05-13,2023-05-01,still champion
1389,Rhea Ripley (c),victory,Tegan Nox,Single Match,WWE Smackdown Women's Title,-,609,2023-05-13,2023-05-01,still champion
1390,Gunther (c),victory,Johnny Gargano,Single Match,WWE Intercontinental Championship,-,1012,2023-05-13,2023-05-01,still champion
1391,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-05-13,2023-05-01,No Title Match
1392,Cruz Del Toro & Joaquin Wilde,victory,Karl Anderson & Luke Gallows,Tag Team,No Title Match,-,550,2023-05-12,2023-05-01,No Title Match
1393,AJ Styles,pinfall,"Edge, Rey Mysterio",Triple Threat,No Title Match,-,972,2023-05-12,2023-05-01,No Title Match
1394,Bobby Lashley,pinfall,"Austin Theory, Sheamus",Triple Threat,No Title Match,-,778,2023-05-12,2023-05-01,No Title Match
1395,Cameron Grimes,pinfall,Baron Corbin,Single Match,No Title Match,-,6,2023-05-12,2023-05-01,No Title Match
1396,Liv Morgan (c) & Raquel Rodriguez (c),pinfall,Bayley & Dakota Kai,Tag Team,WWE Womens Tag Team Championship,-,527,2023-05-12,2023-05-01,still champion
1397,AJ Styles,pinfall,Bobby Lashley,Single Match,No Title Match,-,721,2023-05-12,2023-05-01,No Title Match
1398,Jey Uso & Jimmy Uso,victory,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,550,2023-05-12,2023-05-01,No Title Match
1399,Bianca BelAir,victory,Iyo Sky,Single Match,No Title Match,-,550,2023-05-12,2023-05-01,No Title Match
1400,Seth Rollins,victory,"Damian Priest, Shinsuke Nakamura",Triple Threat,No Title Match,***½,800,2023-05-08,2023-05-01,No Title Match
1401,Mustafa Ali,pinfall,Otis,Single Match,No Title Match,-,136,2023-05-08,2023-05-01,No Title Match
1402,Finn Bálor,pinfall,"Cody Rhodes, The Miz",Triple Threat,No Title Match,-,567,2023-05-08,2023-05-01,No Title Match
1403,Rhea Ripley,submission,Dana Brooke,Single Match,No Title Match,-,99,2023-05-08,2023-05-01,No Title Match
1404,Kevin Owens & Sami Zayn,pinfall,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,590,2023-05-08,2023-05-01,No Title Match
1405,Zoey Stark,pinfall,Nikki Cross,Single Match,No Title Match,-,140,2023-05-08,2023-05-01,No Title Match
1406,Dominik Mysterio,pinfall,Xavier Woods,Single Match,No Title Match,-,636,2023-05-08,2023-05-01,No Title Match
1407,Seth Rollins,pinfall,Finn Bálor,Single Match,No Title Match,-,810,2023-05-08,2023-05-01,No Title Match
1408,Emma,victory,Roxanne Perez,Single Match,No Title Match,-,550,2023-05-08,2023-05-01,No Title Match
1409,Akira Tozawa,victory,Nathan Frazer,Single Match,No Title Match,-,550,2023-05-08,2023-05-01,No Title Match
1410,Bianca BelAir (c),pinfall,Iyo Sky,Single Match,WWE Raw Women's Title,****¼,1082,2023-05-06,2023-05-01,still champion
1411,Seth Rollins,pinfall,Omos,Single Match,No Title Match,***,631,2023-05-06,2023-05-01,No Title Match
1412,Austin Theory (c),pinfall,"Bobby Lashley, Bronson Reed",Triple Threat,WWE United States Championship,**½,410,2023-05-06,2023-05-01,still champion
1413,Rhea Ripley (c),pinfall,Zelina Vega,Single Match,WWE Smackdown Women's Title,**,431,2023-05-06,2023-05-01,still champion
1414,Bad Bunny,pinfall,Damian Priest,Single Match,No Title Match,****½,1502,2023-05-06,2023-05-01,No Title Match
1415,Jey Uso & Jimmy Uso & Solo Sikoa,pinfall,Kevin Owens & Matt Riddle & Sami Zayn,Tag Team,No Title Match,***¾,1323,2023-05-06,2023-05-01,No Title Match
1416,Cody Rhodes,pinfall,Brock Lesnar,Single Match,No Title Match,***¾,582,2023-05-06,2023-05-01,No Title Match
1417,L.A. Knight,victory,Butch,Single Match,No Title Match,-,550,2023-05-05,2023-05-01,No Title Match
1418,Liv Morgan (c) & Raquel Rodriguez (c),victory,Bayley & Dakota Kai,Tag Team,WWE Womens Tag Team Championship,-,622,2023-05-05,2023-05-01,still champion
1419,Karl Anderson & Luke Gallows,pinfall,Erik & Ivar,Tag Team,No Title Match,-,488,2023-05-05,2023-05-01,No Title Match
1420,Angelo Dawkins & Montez Ford,pinfall,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,273,2023-05-05,2023-05-01,No Title Match
1421,Shinsuke Nakamura,pinfall,Karrion Kross,Single Match,No Title Match,-,533,2023-05-05,2023-05-01,No Title Match
1422,Rey Mysterio & Zelina Vega,pinfall,Dominik Mysterio & Rhea Ripley,Tag Team,No Title Match,-,575,2023-05-05,2023-05-01,No Title Match
1423,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-05-05,2023-05-01,No Title Match
1424,Dakota Kai & Iyo Sky,pinfall,Liv Morgan & Raquel Rodriguez,Tag Team,No Title Match,-,481,2023-05-01,2023-05-01,No Title Match
1425,Braun Strowman & Ricochet,pinfall,Chad Gable & Otis,Tag Team,No Title Match,-,146,2023-05-01,2023-05-01,No Title Match
1426,Matt Riddle,pinfall,Jey Uso,Single Match,No Title Match,-,451,2023-05-01,2023-05-01,No Title Match
1427,Omos,pinfall,Anthony Alanis,Single Match,No Title Match,-,48,2023-05-01,2023-05-01,No Title Match
1428,Damian Priest & Dominik Mysterio & Rhea Ripley,pinfall,Rey Mysterio & Santos Escobar & Zelina Vega,Tag Team,No Title Match,-,528,2023-05-01,2023-05-01,No Title Match
1429,Seth Rollins,DQ,Solo Sikoa,Single Match,No Title Match,-,639,2023-05-01,2023-05-01,No Title Match
1430,Piper Niven,victory,Dana Brooke,Single Match,No Title Match,-,550,2023-05-01,2023-05-01,No Title Match
1431,Mustafa Ali,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-05-01,2023-05-01,No Title Match
1432,Shinsuke Nakamura,victory,L.A. Knight,Single Match,No Title Match,-,550,2023-04-30,2023-04-01,No Title Match
1433,Omos,victory,Elias,Single Match,No Title Match,-,550,2023-04-30,2023-04-01,No Title Match
1434,Solo Sikoa,victory,Sheamus,Single Match,No Title Match,-,550,2023-04-30,2023-04-01,No Title Match
1435,Xavier Woods,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-04-30,2023-04-01,No Title Match
1436,Liv Morgan (c) & Raquel Rodriguez (c),victory,Chelsea Green & Sonya Deville,Tag Team,WWE Womens Tag Team Championship,-,622,2023-04-30,2023-04-01,still champion
1437,Ricochet,victory,Erik,Single Match,No Title Match,-,550,2023-04-30,2023-04-01,No Title Match
1438,Rhea Ripley (c),victory,Shotzi,Single Match,WWE Smackdown Women's Title,-,609,2023-04-30,2023-04-01,still champion
1439,Kevin Owens (c) & Sami Zayn (c),victory,Jey Uso & Jimmy Uso,Tag Team,WWE Smackdown Tag Team Championship,-,346,2023-04-30,2023-04-01,still champion
1440,Bianca BelAir (c),DQ,Iyo Sky,Single Match,WWE Raw Women's Title,-,1082,2023-04-29,2023-04-01,still champion
1441,Asuka & Bianca BelAir,victory,Bayley & Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1442,Damian Priest,victory,Dolph Ziggler,Single Match,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1443,Dominik Mysterio,victory,Dexter Lumis,Single Match,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1444,Baron Corbin,victory,Rick Boogs,Single Match,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1445,Seth Rollins,victory,The Miz,Single Match,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1446,Chad Gable & Otis,victory,ma.çé & mån.sôör,Tag Team,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1447,Austin Theory (c),victory,"Bobby Lashley, Bronson Reed",Triple Threat,WWE United States Championship,-,964,2023-04-29,2023-04-01,still champion
1448,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1449,Ricochet,victory,Erik,Single Match,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1450,Omos,victory,Elias,Single Match,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1451,Shinsuke Nakamura,victory,L.A. Knight,Single Match,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1452,Solo Sikoa,victory,Sheamus,Single Match,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1453,Liv Morgan (c) & Raquel Rodriguez (c),victory,Chelsea Green & Sonya Deville,Tag Team,WWE Womens Tag Team Championship,-,622,2023-04-29,2023-04-01,still champion
1454,Xavier Woods,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-04-29,2023-04-01,No Title Match
1455,Rhea Ripley (c),victory,Shotzi,Single Match,WWE Smackdown Women's Title,-,609,2023-04-29,2023-04-01,still champion
1456,Kevin Owens (c) & Sami Zayn (c),victory,Jey Uso & Jimmy Uso,Tag Team,WWE Smackdown Tag Team Championship,-,346,2023-04-29,2023-04-01,still champion
1457,Bianca BelAir (c),DQ,Iyo Sky,Single Match,WWE Raw Women's Title,-,1082,2023-04-28,2023-04-01,still champion
1458,Asuka & Bianca BelAir,victory,Bayley & Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-04-28,2023-04-01,No Title Match
1459,Damian Priest,victory,Dolph Ziggler,Single Match,No Title Match,-,550,2023-04-28,2023-04-01,No Title Match
1460,Dominik Mysterio,victory,Dexter Lumis,Single Match,No Title Match,-,550,2023-04-28,2023-04-01,No Title Match
1461,Seth Rollins,victory,The Miz,Single Match,No Title Match,-,550,2023-04-28,2023-04-01,No Title Match
1462,Chad Gable & Otis,victory,ma.çé & mån.sôör,Tag Team,No Title Match,-,550,2023-04-28,2023-04-01,No Title Match
1463,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-04-28,2023-04-01,No Title Match
1464,Shotzi,victory,Lacey Evans,Single Match,No Title Match,-,550,2023-04-28,2023-04-01,No Title Match
1465,L.A. Knight,pinfall,Butch,Single Match,No Title Match,-,481,2023-04-28,2023-04-01,No Title Match
1466,Angelo Dawkins & Montez Ford,pinfall,"Braun Strowman & Ricochet, Cruz Del Toro & Joaquin Wilde",Tag Team,No Title Match,-,457,2023-04-28,2023-04-01,No Title Match
1467,Zelina Vega,pinfall,Sonya Deville,Single Match,No Title Match,-,185,2023-04-28,2023-04-01,No Title Match
1468,Kevin Owens (c) & Sami Zayn (c),pinfall,Jey Uso & Jimmy Uso,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,***¾,1060,2023-04-28,2023-04-01,still champion
1469,Solo Sikoa,victory,Matt Riddle,Single Match,No Title Match,-,550,2023-04-28,2023-04-01,No Title Match
1470,Rhea Ripley (c),victory,Raquel Rodriguez,Single Match,WWE Smackdown Women's Title,-,609,2023-04-28,2023-04-01,still champion
1471,Asuka & Bianca BelAir,victory,Bayley & Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-04-27,2023-04-01,No Title Match
1472,Rick Boogs,victory,Baron Corbin,Single Match,No Title Match,-,550,2023-04-27,2023-04-01,No Title Match
1473,Dominik Mysterio,victory,Dolph Ziggler,Single Match,No Title Match,-,550,2023-04-27,2023-04-01,No Title Match
1474,Chad Gable & Otis,victory,ma.çé & mån.sôör,Tag Team,No Title Match,-,550,2023-04-27,2023-04-01,No Title Match
1475,Seth Rollins,victory,The Miz,Single Match,No Title Match,-,550,2023-04-27,2023-04-01,No Title Match
1476,Bronson Reed,victory,Dexter Lumis,Single Match,No Title Match,-,550,2023-04-27,2023-04-01,No Title Match
1477,Bobby Lashley,DQ,Austin Theory (c),Single Match,WWE United States Championship,-,964,2023-04-27,2023-04-01,still champion
1478,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-04-27,2023-04-01,No Title Match
1479,Seth Rollins,victory,The Miz,Single Match,No Title Match,-,550,2023-04-26,2023-04-01,No Title Match
1480,Rick Boogs,victory,Baron Corbin,Single Match,No Title Match,-,550,2023-04-26,2023-04-01,No Title Match
1481,Butch,victory,Baron Corbin,Single Match,No Title Match,-,550,2023-04-26,2023-04-01,No Title Match
1482,Bobby Lashley,DQ,Austin Theory (c),Single Match,WWE United States Championship,-,964,2023-04-26,2023-04-01,still champion
1483,Chad Gable & Otis,victory,ma.çé & mån.sôör,Tag Team,No Title Match,-,550,2023-04-26,2023-04-01,No Title Match
1484,Bianca BelAir (c),victory,"Asuka, Bayley",Triple Threat,WWE Raw Women's Title,-,1082,2023-04-26,2023-04-01,still champion
1485,Bronson Reed,victory,Dexter Lumis,Single Match,No Title Match,-,550,2023-04-26,2023-04-01,No Title Match
1486,Damian Priest,victory,Dolph Ziggler,Single Match,No Title Match,-,550,2023-04-26,2023-04-01,No Title Match
1487,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-04-26,2023-04-01,No Title Match
1488,Jey Uso & Jimmy Uso & Solo Sikoa,pinfall,Cruz Del Toro & Joaquin Wilde & Santos Escobar,Tag Team,No Title Match,-,520,2023-04-24,2023-04-01,No Title Match
1489,Angelo Dawkins & Montez Ford,pinfall,Cedric Alexander & Shelton Benjamin,Tag Team,No Title Match,-,140,2023-04-24,2023-04-01,No Title Match
1490,Bianca BelAir & Liv Morgan & Raquel Rodriguez,pinfall,Bayley & Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,537,2023-04-24,2023-04-01,No Title Match
1491,Mustafa Ali,pinfall,Chad Gable,Single Match,No Title Match,-,110,2023-04-24,2023-04-01,No Title Match
1492,Cody Rhodes,pinfall,Finn Bálor,Single Match,No Title Match,-,660,2023-04-24,2023-04-01,No Title Match
1493,Rey Mysterio,DQ,Damian Priest,Single Match,No Title Match,-,680,2023-04-24,2023-04-01,No Title Match
1494,Dexter Lumis,victory,Joe Gacy,Single Match,No Title Match,-,550,2023-04-24,2023-04-01,No Title Match
1495,Nikki Cross,victory,Cora Jade,Single Match,No Title Match,-,550,2023-04-24,2023-04-01,No Title Match
1496,Rey Mysterio & Santos Escobar,victory,Cedric Alexander & Shelton Benjamin,Tag Team,No Title Match,-,550,2023-04-23,2023-04-01,No Title Match
1497,Shotzi,victory,Sonya Deville,Single Match,No Title Match,-,550,2023-04-23,2023-04-01,No Title Match
1498,Sheamus,victory,L.A. Knight,Single Match,No Title Match,-,550,2023-04-23,2023-04-01,No Title Match
1499,Karrion Kross,victory,Mustafa Ali,Single Match,No Title Match,-,550,2023-04-23,2023-04-01,No Title Match
1500,Kevin Owens (c) & Sami Zayn (c),victory,Jey Uso & Jimmy Uso,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-04-23,2023-04-01,still champion
1501,Natalya,victory,Shayna Baszler,Single Match,No Title Match,-,550,2023-04-23,2023-04-01,No Title Match
1502,Ricochet,victory,Erik,Single Match,No Title Match,-,550,2023-04-23,2023-04-01,No Title Match
1503,Cody Rhodes,victory,Solo Sikoa,Single Match,No Title Match,-,550,2023-04-23,2023-04-01,No Title Match
1504,Ricochet,victory,Ivar,Single Match,No Title Match,-,550,2023-04-22,2023-04-01,No Title Match
1505,Shotzi,victory,Sonya Deville,Single Match,No Title Match,-,550,2023-04-22,2023-04-01,No Title Match
1506,Sheamus,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-04-22,2023-04-01,No Title Match
1507,Kevin Owens (c) & Sami Zayn (c),victory,Jey Uso & Jimmy Uso,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-04-22,2023-04-01,still champion
1508,L.A. Knight,victory,Mustafa Ali,Single Match,No Title Match,-,550,2023-04-22,2023-04-01,No Title Match
1509,Natalya,victory,Shayna Baszler,Single Match,No Title Match,-,550,2023-04-22,2023-04-01,No Title Match
1510,Rey Mysterio & Santos Escobar,victory,Cedric Alexander & Shelton Benjamin,Tag Team,No Title Match,-,550,2023-04-22,2023-04-01,No Title Match
1511,Cody Rhodes,victory,Solo Sikoa,Single Match,No Title Match,-,550,2023-04-22,2023-04-01,No Title Match
1512,Damian Priest & Finn Bálor,pinfall,Rey Mysterio & Santos Escobar,Tag Team,No Title Match,***½,689,2023-04-21,2023-04-01,No Title Match
1513,Braun Strowman & Ricochet,pinfall,Erik & Ivar,Tag Team,No Title Match,-,618,2023-04-21,2023-04-01,No Title Match
1514,Liv Morgan (c) & Raquel Rodriguez (c),pinfall,Chelsea Green & Sonya Deville,Tag Team,WWE Womens Tag Team Championship,-,369,2023-04-21,2023-04-01,still champion
1515,Gunther (c),submission,Xavier Woods,Single Match,WWE Intercontinental Championship,***½,635,2023-04-21,2023-04-01,still champion
1516,Solo Sikoa,pinfall,Matt Riddle,Single Match,No Title Match,***¾,844,2023-04-21,2023-04-01,No Title Match
1517,Nikki Cross,victory,Isla Dawn,Single Match,No Title Match,-,550,2023-04-17,2023-04-01,No Title Match
1518,Dexter Lumis,victory,Eddy Thorpe,Single Match,No Title Match,-,550,2023-04-17,2023-04-01,No Title Match
1519,Solo Sikoa,pinfall,Rey Mysterio,Single Match,No Title Match,-,761,2023-04-17,2023-04-01,No Title Match
1520,Bianca BelAir,pinfall,Dakota Kai,Single Match,No Title Match,-,550,2023-04-17,2023-04-01,No Title Match
1521,Seth Rollins,pinfall,The Miz,Single Match,No Title Match,***½,723,2023-04-17,2023-04-01,No Title Match
1522,Bobby Lashley,DQ,Austin Theory,Single Match,No Title Match,-,729,2023-04-17,2023-04-01,No Title Match
1523,Chelsea Green & Sonya Deville,pinfall,Candice LeRae & Michin,Tag Team,No Title Match,-,179,2023-04-17,2023-04-01,No Title Match
1524,Kevin Owens & Matt Riddle & Sami Zayn,pinfall,Damian Priest & Dominik Mysterio & Finn Bálor,Tag Team,No Title Match,-,774,2023-04-17,2023-04-01,No Title Match
1525,Dominik Mysterio,victory,Santos Escobar,Single Match,No Title Match,-,550,2023-04-16,2023-04-01,No Title Match
1526,Braun Strowman & Ricochet,victory,Erik & Ivar,Tag Team,No Title Match,-,550,2023-04-16,2023-04-01,No Title Match
1527,Shinsuke Nakamura,victory,The Miz,Single Match,No Title Match,-,550,2023-04-16,2023-04-01,No Title Match
1528,Bobby Lashley,DQ,Austin Theory (c),Single Match,WWE United States Championship,-,964,2023-04-16,2023-04-01,still champion
1529,Piper Niven,victory,"Chelsea Green, Shotzi",Triple Threat,No Title Match,-,550,2023-04-16,2023-04-01,No Title Match
1530,Bianca BelAir (c),victory,"Asuka, Piper Niven",Triple Threat,WWE Raw Women's Title,-,1082,2023-04-16,2023-04-01,still champion
1531,Cody Rhodes & Kevin Owens & Matt Riddle,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-04-16,2023-04-01,No Title Match
1532,Shotzi,victory,Lacey Evans,Single Match,No Title Match,-,550,2023-04-14,2023-04-01,No Title Match
1533,Xavier Woods,pinfall,L.A. Knight,Single Match,No Title Match,-,680,2023-04-14,2023-04-01,No Title Match
1534,Damian Priest,pinfall,Santos Escobar,Single Match,No Title Match,-,693,2023-04-14,2023-04-01,No Title Match
1535,Shinsuke Nakamura,pinfall,Madcap Moss,Single Match,No Title Match,-,63,2023-04-14,2023-04-01,No Title Match
1536,Solo Sikoa,pinfall,Matt Riddle,Single Match,No Title Match,-,645,2023-04-14,2023-04-01,No Title Match
1537,Gunther,victory,Butch,Single Match,No Title Match,-,550,2023-04-14,2023-04-01,No Title Match
1538,Braun Strowman & Ricochet,victory,Erik & Ivar,Tag Team,No Title Match,-,550,2023-04-14,2023-04-01,No Title Match
1539,Nikki Cross,victory,Zoey Stark,Single Match,No Title Match,-,550,2023-04-10,2023-04-01,No Title Match
1540,Dolph Ziggler,victory,Tyler Bate,Single Match,No Title Match,-,550,2023-04-10,2023-04-01,No Title Match
1541,Finn Bálor,pinfall,Rey Mysterio,Single Match,No Title Match,-,852,2023-04-10,2023-04-01,No Title Match
1542,Liv Morgan & Raquel Rodriguez,pinfall,Becky Lynch (c) & Trish Stratus,Tag Team,WWE Womens Tag Team Championship (title change),-,928,2023-04-10,2023-04-01,new champion
1543,Bobby Lashley,draw (DCO),Bronson Reed,Single Match,No Title Match,-,643,2023-04-10,2023-04-01,No Title Match
1544,Jey Uso & Jimmy Uso,pinfall,Chad Gable & Otis,Tag Team,No Title Match,***¾,788,2023-04-10,2023-04-01,No Title Match
1545,Iyo Sky,pinfall,"Michin, Piper Niven",Triple Threat,No Title Match,-,495,2023-04-10,2023-04-01,No Title Match
1546,Solo Sikoa,pinfall,Kevin Owens,Single Match,No Title Match,-,805,2023-04-10,2023-04-01,No Title Match
1547,Tegan Nox,victory,Sonya Deville,Single Match,No Title Match,-,550,2023-04-07,2023-04-01,No Title Match
1548,Butch & Ridge Holland & Sheamus,pinfall,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,***½,704,2023-04-07,2023-04-01,No Title Match
1549,Ricochet,pinfall,Ivar,Single Match,No Title Match,-,247,2023-04-07,2023-04-01,No Title Match
1550,Liv Morgan & Raquel Rodriguez,pinfall,Natalya & Shotzi,Tag Team,No Title Match,-,171,2023-04-07,2023-04-01,No Title Match
1551,Damian Priest & Dominik Mysterio,pinfall,Rey Mysterio & Santos Escobar,Tag Team,No Title Match,-,612,2023-04-07,2023-04-01,No Title Match
1552,Jey Uso,pinfall,Sami Zayn,Single Match,No Title Match,-,589,2023-04-07,2023-04-01,No Title Match
1553,Austin Theory (c),victory,Dolph Ziggler,Single Match,WWE United States Championship,-,964,2023-04-07,2023-04-01,still champion
1554,Matt Riddle,DQ,Solo Sikoa,Single Match,No Title Match,-,550,2023-04-07,2023-04-01,No Title Match
1555,Omos,pinfall,Elias,Single Match,No Title Match,-,96,2023-04-03,2023-04-01,No Title Match
1556,Austin Theory,pinfall,Rey Mysterio,Single Match,No Title Match,-,566,2023-04-03,2023-04-01,No Title Match
1557,Kevin Owens & Sami Zayn,pinfall,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,***½,774,2023-04-03,2023-04-01,No Title Match
1558,Bobby Lashley,submission,Mustafa Ali,Single Match,No Title Match,-,31,2023-04-03,2023-04-01,No Title Match
1559,Liv Morgan & Raquel Rodriguez,pinfall,Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,421,2023-04-03,2023-04-01,No Title Match
1560,Rick Boogs,victory,Cedric Alexander,Single Match,No Title Match,-,550,2023-04-03,2023-04-01,No Title Match
1561,Bronson Reed,victory,Dexter Lumis,Single Match,No Title Match,-,550,2023-04-03,2023-04-01,No Title Match
1562,Brock Lesnar,pinfall,Omos,Single Match,No Title Match,***,295,2023-04-02,2023-04-01,No Title Match
1563,Ronda Rousey & Shayna Baszler,submission,"Chelsea Green & Sonya Deville, Liv Morgan & Raquel Rodriguez, Natalya & Shotzi",Tag Team,No Title Match,**½,503,2023-04-02,2023-04-01,No Title Match
1564,Gunther (c),pinfall,"Drew McIntyre, Sheamus",Triple Threat,WWE Intercontinental Championship,*****,998,2023-04-02,2023-04-01,still champion
1565,Bianca BelAir (c),pinfall,Asuka,Single Match,WWE Raw Women's Title,***¾,957,2023-04-02,2023-04-01,still champion
1566,The Miz,draw (NC),Shane McMahon,Single Match,No Title Match,-,80,2023-04-02,2023-04-01,No Title Match
1567,Snoop Dogg,pinfall,The Miz,Single Match,No Title Match,*,60,2023-04-02,2023-04-01,No Title Match
